name,located,registered_on
J. 3 Sixteen Estates Ltd,,"Registered on Aug 12, 2016agent"
ISMA'S FOURTH GLOBAL CONCEPT,"Abraham adesanya, Ajah, Lagos","Registered on Sep 01, 2016agent"
Updc properties,,"Registered on Oct 05, 2016agent"
Mohs Properties,"ikota, Lagos","Registered on Oct 25, 2016agent"
James Ekat,,"Registered on Jan 05, 2017agent"
MERIDIAN PARK ,,"Registered on Jun 17, 2017agent"
De ultimate venture,,"Registered on Apr 04, 2018agent"
Frank Okeke,,"Registered on Apr 27, 2018agent"
Getpropatis Real Estate Company,,"Registered on May 16, 2018agent"
Omotoso Olagoke,,"Registered on Jul 31, 2018agent"
Dan Yusuf,,"Registered on Nov 09, 2018agent"
HIGHER GROUND PROPERTY CONSULTANT,,"Registered on Apr 28, 2019agent"
John o,,"Registered on Jul 26, 2019agent"
Zvariproperty ,,"Registered on Aug 11, 2019agent"
Adron Homes ,,"Registered on Aug 28, 2019agent"
Agunbiade Kolawole Olukunle,,"Registered on Aug 19, 2019agent"
Muyiwa Arogundade,,"Registered on Oct 11, 2019agent"
Kayode Samuel,,"Registered on Dec 06, 2019agent"
Nwagu onyinye Gloria,,"Registered on Jan 16, 2020agent"
propertyadvisorynetwork,,"Registered on Feb 11, 2020agent"
D. Damani Real Estate & Multi Services,,"Registered on Apr 30, 2020agent"
Ayo,Lagos,"Registered on Jul 15, 2014agent"
Laolu Faturoti & co,"10, Jokotade House,Ogudu Road, Ogudu Lagos., Lagos","Registered on Jul 21, 2016agent"
eseboh nigeria limited,"old ojo road, Lagos","Registered on Sep 28, 2016agent"
homeMade Realty ,"Ajah shopping complex, Lagos","Registered on Dec 08, 2016agent"
Pinnacle Homes ,"km 25, Lekki - Epe expressway , Lagos","Registered on Jan 25, 2017agent"
Samod kadiri,,"Registered on Aug 19, 2017agent"
Landmarket nigeria limited,"2nd floor, The Garnet building, Km 14 Lekki Epe expressway, Igbo Efon, Lekki, Lagos","Registered on Nov 23, 2017agent"
Gabriel David homes,"23 fubara Dublin green street off alpha beach road igbo efon Lekki, Lagos","Registered on Nov 23, 2017agent"
CASAFLO REALTIES LTD,"1004 Estate Victoria Island Lagos, Lagos","Registered on Dec 05, 2017agent"
Agu linda,,"Registered on Feb 05, 2020agent"
Elvigrey investments & Tours,,"Registered on Jan 11, 2020agent"
I THERAPY CONSULT,,"Registered on Mar 04, 2020agent"
Leesproperties,,"Registered on Apr 30, 2020agent"
Sureconnect Properties Limited,"4 Bailey Street, Lagos","Registered on Oct 04, 2015agent"
Muyit Nigeria Ltd,"13, Ogbunike street, Lekki Phase 1, Lagos","Registered on Jun 04, 2016agent"
Bonum Properties,,"Registered on Jul 06, 2016agent"
Maryam Hassan,Abuja,"Registered on Nov 09, 2016agent"
Chisara Agoha,,"Registered on May 10, 2017agent"
firmaterra,"38 Sunmola street,Maryland, Lagos","Registered on Apr 29, 2017agent"
Castle Care,"Obayan street, Akoka, Yaba, Lagos, Lagos","Registered on May 19, 2017agent"
adegoke adebola,,"Registered on Jun 07, 2017agent"
OOP PROPERTY FINDERS,,"Registered on Jun 14, 2017agent"
oladeji,,"Registered on Jul 13, 2017agent"
SELLERRAND REALTY LIMITED,"4, Babatope Bejide Street, off Fola Osibo, Lekki Phase 1, Lagos","Registered on Sep 11, 2017agent"
KENNETH CHUKWUEMEKA & CO.,,"Registered on Nov 23, 2017agent"
Lakato properties,,"Registered on Nov 23, 2017agent"
BELLUCCI MULTICONCEPTS,,"Registered on Nov 23, 2017agent"
Imoh Justin Obot,,"Registered on Jan 21, 2018agent"
segun,,"Registered on Jan 23, 2018agent"
PERTINENCE LIMITED,,"Registered on Jan 08, 2018agent"
Henry Ekeocha,"16A Sule Abuka Close, Off Opebi road by GTBank Opebi, Ikeja Lagos, Lagos","Registered on Jan 16, 2018agent"
EMMANUEL BALOGUN,,"Registered on Jan 20, 2018agent"
Rockshield Properties Limited,"Dugbe, Oyo","Registered on Jan 21, 2018agent"
chrismall homes,,"Registered on Feb 03, 2018agent"
Home Seller Estate Agent,Lagos,"Registered on Apr 02, 2018agent"
Abah,,"Registered on Apr 17, 2018agent"
J & J Realtors,,"Registered on Apr 25, 2018agent"
Pauline Eguche,"Ikeja, Lagos","Registered on May 12, 2018agent"
Abiodun,,"Registered on May 20, 2018agent"
Famous International. Co,"1, Gani Animashaun street, Akowonjo. Lagos State., Lagos","Registered on Jun 13, 2018agent"
Almond Renovations and Maintenance Ltd,"Km 17 Lekki Epe Expressway, Igbo Efon, Lagos","Registered on Jul 25, 2018agent"
Agboola Abiodun,,"Registered on Oct 02, 2018agent"
Foladot properties,,"Registered on Sep 10, 2018agent"
Obinna Okoli,,"Registered on May 12, 2019agent"
chawmartprop,,"Registered on Apr 23, 2019agent"
DNJ properties,,"Registered on Oct 21, 2019agent"
Philip Sunday,,"Registered on Nov 21, 2019agent"
Laycon TODAY,,"Registered on Nov 30, 2019agent"
Godstime Essien,,"Registered on Feb 15, 2020agent"
Christopher's properties and consultancy services,"mowe, Ogun","Registered on Feb 04, 2018agent"
JHP,"Awudu Ekpekha Boulevad street off Admiralty Way, Lekki Phase 1, Lagos., Lagos","Registered on Feb 21, 2018agent"
DAN LAMI REAL ESTATE LTD ,"15, Admiralty way, Lekki Phase 1 , Lagos","Registered on Jun 10, 2018agent"
Charles ,,"Registered on Jul 05, 2018agent"
Olarenwaju Azeez,Lagos,"Registered on Sep 26, 2018agent"
 Tunokan Sales,Edo,"Registered on Sep 26, 2018agent"
Onyi,,"Registered on Jan 07, 2019agent"
Lastdon,,"Registered on Feb 04, 2019agent"
Luxury Agent ,,"Registered on Feb 15, 2019agent"
Olaitan Adewale,,"Registered on Mar 21, 2019agent"
Jennifer Chinen Ngele,,"Registered on Jun 17, 2019agent"
Soulmate Properties,,"Registered on Aug 20, 2019agent"
David Oboite,,"Registered on Aug 30, 2019agent"
DNJ PROPERTIES AND INVESTMENT LIMITED,,"Registered on Nov 03, 2019agent"
Pelumi Fatoye,,"Registered on Feb 07, 2020agent"
Made1Homes,,"Registered on Jan 24, 2020agent"
WESTEND HOMES,,"Registered on Mar 20, 2020agent"
Prologica Properties,,"Registered on Apr 18, 2020agent"
?ary Sabinus,,"Registered on Apr 19, 2020agent"
Bishops Court,"meiran, Lagos","Registered on Apr 26, 2013agent"
kate Amama,,"Registered on Jun 16, 2017agent"
Priye Braide,,"Registered on Jul 07, 2017agent"
Highfield Properties Limited,"33, Ogundana Street, Off Allen Avenue, Ikeja, Lagos., Lagos","Registered on Sep 07, 2017agent"
Gardengate Properties,,"Registered on Sep 20, 2017agent"
citygossip,,"Registered on Nov 05, 2017agent"
CARL & PRISCILLA INTERNATIONAL,,"Registered on Nov 21, 2017agent"
Superite Nigeria,,"Registered on Nov 21, 2017agent"
Brick Heritage,,"Registered on Nov 23, 2017agent"
Foladej properties ,Lagos,"Registered on Jan 09, 2018agent"
Roccia Asset Investment Limited (Dogunro Promise),Lagos,"Registered on Feb 11, 2018agent"
CHATOYANT PROPERTY COMPANY ,"17 Oladimeji street Aguda Surulere, Lagos","Registered on Jun 01, 2018agent"
James Chukwu,Ogun,"Registered on Oct 25, 2018agent"
Ladi Roberts & Associates ,,"Registered on Feb 08, 2019agent"
Jasat Realty,,"Registered on Apr 24, 2019agent"
Ayinke Amoke homes,,"Registered on Jun 27, 2019agent"
Mustapha ISMAIL,,"Registered on Jun 18, 2019agent"
Nkechi Abah,,"Registered on Aug 01, 2019agent"
NUEVIC HOMES PDC,,"Registered on Jul 08, 2019agent"
Covek Properties Ltd,,"Registered on Aug 09, 2019agent"
Abdullah Suleiman,,"Registered on Sep 27, 2019agent"
Celebrity Bone Bright Ltd,,"Registered on Sep 10, 2018agent"
 Jide Taiwo And Co. Estate Surveyors And Valuers,Ogun,"Registered on Oct 29, 2018agent"
Dennis isiramen,,"Registered on Jun 04, 2019agent"
Arise Daniel,,"Registered on Jun 20, 2019agent"
Adigun adewale l,,"Registered on Aug 07, 2019agent"
Kest professional services ltd ,,"Registered on Jul 15, 2019agent"
Numero Homes Global Resources,,"Registered on Aug 28, 2019agent"
AIS Ltd,,"Registered on Sep 13, 2019agent"
Upland Realtors Ltd ,,"Registered on Oct 10, 2019agent"
Nwosu chinonso Emmanuel,,"Registered on Jan 12, 2020agent"
Ireayotomiwa Bankole,,"Registered on Feb 16, 2020agent"
Mabish properties,,"Registered on Feb 24, 2020agent"
Akindoyin olawale,,"Registered on Jan 23, 2020agent"
B.B Realtors and Property LTD,,"Registered on Jan 23, 2020agent"
bisdab estate consultancy,"alapere, Lagos","Registered on Jun 25, 2013agent"
Centrebase Consult Ltd,"16, Emina Crescent , off Toyin Street, Ikeja., Lagos","Registered on Sep 14, 2015agent"
Right Choice Limited,,"Registered on Oct 18, 2016agent"
Almo Properties Ibadan ,"Suite 14, Lamlat Office Complex, Opp MRS Filling Station, New Gbagi, Old Ife Road, Ibadan , Oyo","Registered on Nov 14, 2016agent"
WALE AFOLABI & CO,"15a, Adebisi Popoola Crescent, Lekki Phase 1, Lagos","Registered on May 03, 2017agent"
Ifeanyi Izuogu,,"Registered on Jun 07, 2017agent"
Posh Properties ,Lagos,"Registered on Jan 21, 2014agent"
Laide Osikoya & associates (Estate Surveyors & Valuers),"13, kayode Taiwo street, Lagos","Registered on Jun 17, 2016agent"
Nkem Austin,Abuja,"Registered on Nov 22, 2016agent"
Dare Fakeye,,"Registered on Dec 10, 2016agent"
Soyebo & Co,"80, Raymond Njoku Street, Lagos","Registered on Apr 06, 2017agent"
TTFAIM,,"Registered on Jul 14, 2017agent"
MB Real Estate Agency ,"10 Bolajoko Street Oke Aro Akure , Ondo","Registered on Aug 26, 2017agent"
NORTHFLEET CONTRACTORS,"Naze Industrial Cluster Owerri Imo state, Imo","Registered on Nov 12, 2017agent"
Redmenn And Barnes,"Ty Danjuma, Lagos","Registered on Nov 21, 2017agent"
John Onubi,"Abuja, Nigeria, Abuja","Registered on Dec 14, 2017agent"
Raji Stephen Femi,,"Registered on Jan 22, 2018agent"
Nestpoint Properties Ltd,"[email protected], Lagos","Registered on Jan 24, 2018agent"
Dipo,,"Registered on Mar 14, 2018agent"
Daniel Chudy ,,"Registered on Mar 27, 2018agent"
goodhomeproperty,,"Registered on May 16, 2018agent"
absolute mekus,"53, Opebi road ikeja Lagos State, Lagos","Registered on Jul 04, 2018agent"
Popsy Qowam,Lagos,"Registered on Oct 10, 2018agent"
Itarlo & co. properties,"Ofada, Ogun","Registered on Oct 12, 2018agent"
Nwafor chukwuebuka,,"Registered on Oct 17, 2018agent"
Ebenezer Oyebode,,"Registered on Aug 30, 2018agent"
Odusanya M Odutola,,"Registered on Aug 17, 2017agent"
Idowu Shola,"Gani Adam Street ado soba , Lagos","Registered on Sep 19, 2017agent"
ugbaja abel,,"Registered on Sep 28, 2017agent"
Aina ifeoluwabiayo,,"Registered on Sep 28, 2017agent"
Tetramanor Ltd,"TM Gardens, Afric Road, Olaleye New Town, Iponri, Lagos","Registered on Nov 23, 2017agent"
Hadrem Properties,,"Registered on Feb 12, 2018agent"
FFb,"Muri Okunola, Lagos","Registered on Jul 30, 2018agent"
Diamond Rex,,"Registered on Aug 17, 2018agent"
Adebayo omotosho ,,"Registered on Sep 24, 2018agent"
Fred Emuekhare,,"Registered on Oct 15, 2018agent"
The Agencee,,"Registered on Sep 19, 2018agent"
Navitas Realties Ltd,,"Registered on Nov 18, 2018agent"
Real Estate Needs,"18, Carter Street, Herbert Macaulay way, Ebute Metta, Lagos","Registered on Oct 27, 2018agent"
Megamound Investment Limited,,"Registered on Mar 13, 2019agent"
O'sekemi Properties Nig. Limited,,"Registered on Mar 14, 2019agent"
Bello Samuel,,"Registered on Mar 23, 2019agent"
Adron homes and properties limited ,,"Registered on Jul 01, 2019agent"
Kunle Dulan,,"Registered on Jun 23, 2019agent"
Bourdilon,,"Registered on May 29, 2019agent"
Olasupo Ademola,,"Registered on Aug 04, 2019agent"
Manywaters Group,,"Registered on Sep 05, 2019agent"
MegCharis Homes & Properties,,"Registered on Sep 22, 2019agent"
Calvary Properties and Co,,"Registered on Oct 21, 2019agent"
Samson Kujembola ,,"Registered on Jan 01, 2020agent"
Toslad,,"Registered on Feb 13, 2020agent"
April3rd property consultant,,"Registered on Apr 07, 2020agent"
Segun Otunaiya,,"Registered on Mar 09, 2020agent"
HM PROPERTIES,Lagos,"Registered on Jun 11, 2013agent"
Senate Properties,"Taiwo Close, Oregun, Lagos","Registered on Sep 20, 2013agent"
Andylimson Properties limited,Lagos,"Registered on Feb 14, 2014agent"
Lad-White Real Properties,"Suite 53 Phase 2, LSDPC Shopping Complex, Oba Ogunji Road, Pen-Cinema, Opposite Women Development Centre, Agege, Lagos, Lagos","Registered on Apr 13, 2015agent"
Virtual Hub,"5, Isaac John, GRA, Lagos","Registered on Nov 23, 2015agent"
Toplift Realtors,"6 Odobo street,, Lagos","Registered on Aug 07, 2016agent"
Frandom Real Estate And Property Management Nig Ltd ,"Woji street , Rivers","Registered on Oct 19, 2016agent"
BRICKHOMES INVESTMENT,"17, JIBOWU STREET, JIBOWU, YABA, Lagos","Registered on Jan 23, 2017agent"
Meridian Park Estate,"Beside Greenspring schools and Coscharis motors, Awoyaya, along Lekki Epe expressway, Lagos","Registered on Jan 24, 2017agent"
MIchael,,"Registered on May 31, 2017agent"
Adesola,Oyo,"Registered on Jun 23, 2017agent"
Abibam Realtors ,,"Registered on Jun 21, 2017agent"
olaotan jeremiah,,"Registered on Jul 31, 2017agent"
Amos Simon,,"Registered on Oct 02, 2019agent"
Confidence properties best Nig ltd,,"Registered on Oct 17, 2019agent"
obi,,"Registered on Dec 28, 2019agent"
Adeloye Tayo,,"Registered on Jan 18, 2020agent"
Akanbi Yetunde Gbemisola ,,"Registered on Jan 11, 2020agent"
Adio Oluwasikemi Y,,"Registered on Jan 27, 2020agent"
Agspring,,"Registered on Feb 10, 2020agent"
Mex Consult,,"Registered on Feb 14, 2020agent"
adeniyi adediran,,"Registered on Feb 17, 2020agent"
ubosi eleh & co,"montgomery road, Lagos","Registered on Jun 13, 2013agent"
Nurit Buttercup Properties,"Mercyland Estate, Ipaja, Lagos","Registered on Nov 14, 2014agent"
Devante Realties Ltd,"Ajao Road Surulere, Lagos","Registered on Jul 28, 2015agent"
Koya Property Ventures ,"1, Ogo Oluwa Street, Via Adamo Bus Stop, Akan-un , Lagos","Registered on Aug 15, 2016agent"
Osato Osawaye & Co.,"Suite A34, Alausa Shopping Mall, Obafemi Awolowo Way, Ikeja, Lagos","Registered on Oct 11, 2016agent"
Ken Iwuanyanwu,Abuja,"Registered on Oct 21, 2016agent"
Fagade Abiodun,Ogun,"Registered on Nov 23, 2016agent"
IMO EKANEM & CO,"#4 EDEM EKPENYONG STREET OFF BARRACKS ROAD, Cross River","Registered on Dec 05, 2016agent"
Ojelab Global Investments Nig. Ltd.,"Oke-Badan Housing Estate, Oyo","Registered on Dec 15, 2016agent"
The Stephen's Realty,,"Registered on Jul 23, 2019agent"
Ebbyhomes property Nig Ltd,,"Registered on Jul 10, 2019agent"
Anthony Cee,,"Registered on Jul 18, 2019agent"
Kolawole Daniels ,,"Registered on Aug 02, 2019agent"
Grace Kreatiives ,,"Registered on Jul 05, 2019agent"
Awodein Alex Abiola ,,"Registered on Sep 10, 2019agent"
Kehinde,,"Registered on Oct 29, 2019agent"
SOTAAS Management Nig Ltd ,,"Registered on Mar 08, 2017agent"
Royal Empire Properties,"15 Oyekan Street Nitel Estate Satellite Town Lagos, Lagos","Registered on Mar 25, 2017agent"
ADRON homes and properties,"4 soji adepega close off Allen avenue Ikeja, Lagos","Registered on Dec 11, 2019agent"
Pearlz Consultants,,"Registered on Nov 11, 2019agent"
Olyv realty,,"Registered on Dec 01, 2019agent"
Clinton Nhierrhe,,"Registered on Jan 30, 2020agent"
VICTOR ADEGUNLOYE AND ASSOCIATES,,"Registered on Jan 31, 2020agent"
Olusola Solace,,"Registered on Jan 14, 2020agent"
Josnick Realtors,,"Registered on Jan 14, 2020agent"
Ikechukwu collins ,,"Registered on Feb 25, 2020agent"
NICKEEM REALITY,,"Registered on Apr 26, 2020agent"
Sweetness,,"Registered on Apr 29, 2020agent"
Agent Ayo,"Shomolu, Pedro, Lagos","Registered on Oct 21, 2013agent"
Emmanuel Lawrence,"Abike Animashaun, Lagos","Registered on Aug 29, 2013agent"
ONABANJO PROPERTY MANAGEMENT,Lagos,"Registered on May 29, 2014agent"
island ventures global services,"Km21,Lekki Epe expressway By VGc Lekki Ajah Lagos, Lagos","Registered on Apr 29, 2017agent"
Ayankoya Tunde,,"Registered on Apr 27, 2017agent"
 M. I ADENIYI & CO,"Adeniyi Jones , Lagos","Registered on May 30, 2017agent"
Imaralu Ozed,,"Registered on Jun 22, 2017agent"
Jaycitreaker Integrated Concept Ltd,"Gado Nasko Road, Abuja","Registered on Nov 07, 2017agent"
NDSNDSKD,,"Registered on Nov 21, 2017agent"
Ubachukwu ,,"Registered on Jan 12, 2018agent"
Abner and Gad Ltd,"null, Lagos","Registered on Jan 15, 2018agent"
Grey Manor Estates,"N/A, Lagos","Registered on Feb 14, 2018agent"
Ubong Obot,,"Registered on Feb 15, 2018agent"
Faith Ogenyi Consults,"No.5 Durban Street, Abuja","Registered on Jun 19, 2018agent"
omaconi ventures Ltd,"Admiralty way, Lekki phase 1, Lagos","Registered on Jun 21, 2018agent"
Kayode Obembe and Co Ltd,"CENTRO LEKKI MALL:BLOCK 69A PLOT 15 ADMIRALTY WAY LEKKI PHASE 1, Lagos","Registered on Jul 17, 2018agent"
O'Reilly Allied Services NG,"Ikoyi, Lagos","Registered on Aug 29, 2018agent"
REDEEM PROPERTY DEVELOPMENT COMPANY,"adeniyi jones ogba besides honda places, Lagos","Registered on Nov 13, 2018agent"
Mosunmola Odunsi,,"Registered on Mar 01, 2019agent"
Ejiro Abasa,,"Registered on Jun 03, 2019agent"
Salemrealty Ventures,,"Registered on May 26, 2019agent"
John Godson,,"Registered on May 30, 2019agent"
JOSEPH KIKIOWO ESTATE SURVEYORS AND VALUERS,,"Registered on Jul 25, 2019agent"
Ridwan,,"Registered on Jun 03, 2019agent"
Bolanle,,"Registered on Jul 26, 2019agent"
Rex,,"Registered on Jul 22, 2019agent"
Aduragbemi ogunnaike,Oyo,"Registered on Jul 01, 2019agent"
Abodes Lagos,,"Registered on Jul 10, 2019agent"
Geraldine Ketchanti ,,"Registered on Jul 14, 2019agent"
Oluwaseun Olayinka,,"Registered on Dec 03, 2019agent"
Deyi Properties ,,"Registered on Jan 20, 2020agent"
GMT REALTOR,,"Registered on Mar 14, 2020agent"
God's help,,"Registered on Feb 26, 2020agent"
sam rhema,,"Registered on Apr 23, 2020agent"
Mayflower property,"13,Nwanyawu Ugborgoh street, Lekki, Lagos","Registered on Oct 10, 2013agent"
VBS CONTRACTORS,"PLOT 19. FOLA OSIBO DRIVE, (SIMPLY AFRIKAN PLACE) LEKKI PHASE1. LEKKI, Lagos","Registered on Apr 22, 2014agent"
lekkiapartments.com,"3, adeola adeoye street, off toyin street, ikeja, lagos, Lagos","Registered on May 26, 2015agent"
Ebunoluwa,"13, Governor way, Oko-Oba, Lagos, Lagos","Registered on Sep 25, 2015agent"
Olusoji Aremu & Co,"24B, Isheri Road, Omole Phase 1, Lagos","Registered on Aug 01, 2016agent"
Paramount Realty ,"Suite 20, Ama-Bec Plaza, Ado road, Ajah, Lekki. , Lagos","Registered on Sep 19, 2016agent"
Njoadinma Gilead,Abuja,"Registered on Nov 07, 2016agent"
ADEDEJI KAYODE SAMUEL ,,"Registered on Nov 24, 2016agent"
Affable Global Realty,"alagomeji yaba,bode thomas surulere, Lagos","Registered on Jan 05, 2017agent"
Austine White,,"Registered on Nov 08, 2018agent"
OLA BABATUNDE & Associates,"5, Road 3, Olukunle phase 2, Bank Olodo, Iwo road, ibadan, Oyo","Registered on Jan 22, 2019agent"
Sir Henry,,"Registered on May 10, 2019agent"
Realtylab Ng,,"Registered on Apr 16, 2019agent"
Samuel Moses,,"Registered on Apr 11, 2019agent"
BOLA ADEBULE &Co,,"Registered on Jul 16, 2019agent"
Mickolad Real Estates and Property Management,,"Registered on Jul 27, 2019agent"
Dotun Adelani,,"Registered on Sep 17, 2019agent"
Adetoboye Williams. A,,"Registered on Sep 20, 2019agent"
ikechukwu,,"Registered on Oct 07, 2019agent"
ADOO INC.,,"Registered on Nov 15, 2019agent"
LASGIDI HOMES INC.,,"Registered on Jan 09, 2020agent"
Abiodun Akande and Associates,,"Registered on Dec 06, 2019agent"
T&F PROPERTIES(TONIANDFRIENDSPROPERTIES),,"Registered on Feb 01, 2020agent"
wakilat Abdullahi,,"Registered on Feb 01, 2020agent"
Oretuga omoniyi ,,"Registered on Feb 06, 2020agent"
Adefem realtor,,"Registered on Mar 10, 2020agent"
Adegoke Oluwakemi Morenikeji,,"Registered on Mar 20, 2020agent"
Ganiyu aishat,,"Registered on Mar 06, 2020agent"
Adron Homes and Properties Limited,Oyo,"Registered on Apr 28, 2020agent"
AJIBADE,,"Registered on Mar 25, 2017agent"
Micrian Nigeria LTD,"Block 65, Plot 2B, Olarenwaju Crescent, Off Fola Osibo, Lekki Phase 1, Lagos","Registered on Apr 22, 2017agent"
Eniso properties ,"Greenfield estate ago palace okota , Lagos","Registered on Apr 30, 2017agent"
Gray Scale Realtors,,"Registered on Jun 20, 2017agent"
PATRICK ORIYOMI,,"Registered on Jul 19, 2017agent"
DAKCOM PROPERTIES,,"Registered on Aug 07, 2017agent"
Pwan homes,"Ibeju Lekki, Lagos","Registered on Aug 09, 2017agent"
OLUBAYODE OLUWASEUN Vincent ,,"Registered on Aug 24, 2017agent"
Emerson Esther,,"Registered on Aug 17, 2017agent"
Lookman Dosunmu ,,"Registered on Oct 25, 2017agent"
Balekan Tobi,,"Registered on Nov 07, 2017agent"
Afriprops Development Company Limited,"49 Adeola Odeku Street, Victoria Island, Lagos, Lagos","Registered on Nov 17, 2017agent"
Freduc Properties,,"Registered on Nov 23, 2017agent"
Fidelity Properties,"Kubwa, Abuja","Registered on Feb 08, 2018agent"
Peter ogboru,,"Registered on Oct 03, 2018agent"
IBIC PROPERTIES,"16 T.F KUBOYE ROAD ONIRU ESTATE LEKKI, Lagos","Registered on Sep 10, 2018agent"
Ibeju Lekki Realtor,,"Registered on Sep 10, 2018agent"
Promfam Xtra Consult,,"Registered on Jan 08, 2019agent"
Kayfty Property Nigeria,Oyo,"Registered on Oct 30, 2018agent"
Amazing Grace Consults Nigeria,,"Registered on Dec 14, 2018agent"
Borngreat Properties,,"Registered on Sep 09, 2016agent"
Progress Properties,Rivers,"Registered on Dec 09, 2016agent"
Almond Top Realties,"8 Sunmola Street Ilupeju, Lagos","Registered on Feb 02, 2017agent"
SOA REALTORS LTD,"MOBIL ROAD, Lagos","Registered on Mar 16, 2017agent"
Alphavalue Properties,"Prayer Estate, Lagos","Registered on Mar 18, 2017agent"
Domaine Real Estate,"[email protected], Lagos","Registered on Nov 21, 2017agent"
crystal concept,,"Registered on Nov 21, 2017agent"
Victoria Giwa,Lagos,"Registered on Nov 21, 2017agent"
EHIOMO SYNERGY SERVICES,,"Registered on Nov 21, 2017agent"
Skyhill Villas,"13B Charles Ifeanyi Street, Lekki phase 1, Lagos","Registered on Dec 07, 2017agent"
Chipaulex Golden Enterprise,"31b, Godwin Obasi street, Ago place, Amuwo Odofin, Lagos. , Lagos","Registered on Jan 18, 2018agent"
Apsel Properties,"Talabi Street, off Adeniyi Jones, Lagos","Registered on Mar 30, 2018agent"
Lexus consult,"Shiro street, Lagos","Registered on Apr 10, 2018agent"
Akinboade Emmanuel,,"Registered on Jun 20, 2018agent"
Kunle Ogunfile Consulting,,"Registered on Aug 15, 2018agent"
RENASCENT BRIDGE,Lagos,"Registered on Sep 27, 2018agent"
samuel,,"Registered on Aug 20, 2018agent"
Genuine Properties Nigeria limited,"Abba Johnson crescent, Lagos","Registered on Oct 21, 2018agent"
Adeshola Samuel ,,"Registered on Feb 14, 2019agent"
Omotola Jegede,,"Registered on Feb 15, 2019agent"
Nelson Thorpe Alonge,"1B, Isaac John Street, GRA Ikeja, Lagos","Registered on Oct 11, 2017agent"
WAIFER INTERNATIONAL LTD,,"Registered on Nov 11, 2017agent"
Lawscope Legal Hub,"Sangotedo, Lagos","Registered on Nov 21, 2017agent"
Lilian consulting,"Ajah, Lagos","Registered on Jan 07, 2018agent"
Moonstone Properties,,"Registered on Feb 19, 2018agent"
Jurassic consult and properties,,"Registered on Mar 02, 2018agent"
Allen isabor,,"Registered on Mar 16, 2018agent"
Compex Concepts Ltd,"25 Mbonu Ejike Street, Ikenegbu , Imo","Registered on May 08, 2018agent"
Nneka Ogubuike,,"Registered on May 09, 2018agent"
HMD GLOBAL ESTATE AND PROPERTY VENTURES ,,"Registered on Jul 23, 2018agent"
Asa Apartments Nigeria Ltd,Rivers,"Registered on Aug 08, 2018agent"
Idowu Funmilayo ,,"Registered on Sep 24, 2018agent"
Dosatik & Company Limited,"98, Association Avenue/Governor's road ikotun Lagos, Lagos","Registered on Sep 27, 2018agent"
Raymond Desmond,Rivers,"Registered on Oct 04, 2018agent"
folzhomes,"28b, providence street, phase 1, lekki, Lagos","Registered on Nov 23, 2018agent"
Millanco integrated concepts,"2, Adekunle Adepoju Street Bogije, Lagos","Registered on Nov 28, 2018agent"
KAP,,"Registered on Mar 27, 2019agent"
desire Chineye ,,"Registered on Mar 14, 2019agent"
Gold Apex Realty,,"Registered on May 19, 2019agent"
David Otunola,,"Registered on Jun 07, 2019agent"
paparazy property ltd. Rc1271619,"suit ca, 6,oyinlola alalade. by Mobil filling station. 23 ,road festac town., Lagos","Registered on May 20, 2016agent"
Abiodun Hassan & co.,"55, Allen Avenue Ikeja, Lagos","Registered on Aug 25, 2016agent"
Milestone A & P LTD,"Olugbosi Close off Kasumu Ekemode, Victoria Island, Lagos","Registered on Sep 28, 2016agent"
Biolatiri Johnson Oluwakayode,Lagos,"Registered on Oct 21, 2016agent"
Uche Obi,Delta,"Registered on Nov 01, 2016agent"
Fakeye,,"Registered on Nov 23, 2016agent"
Array networks ltd,"44 Adebayo Doherty St lekki phase 1, Lagos","Registered on Feb 15, 2017agent"
Double Doors Realtors and Facilities Mangement Services Ltd,,"Registered on Jul 13, 2017agent"
GoWorld Services,"Block B, Suite 320 Sura Shopping Complex, Simpson Street. Lagos Island, Lagos","Registered on Jul 14, 2017agent"
Dweller's Realtors Company Limited,"HUB 28,Prince Bode Adebowale Street,Lekki ph 1, Lagos","Registered on Aug 09, 2017agent"
Paullizzy Propeeties,,"Registered on Aug 22, 2017agent"
Quest Properties (67402),,"Registered on Nov 23, 2017agent"
BOSIVA,,"Registered on Nov 23, 2017agent"
Vitalvox,,"Registered on Nov 23, 2017agent"
Shoolly World Nigeria Enterprises and properties ,,"Registered on Dec 14, 2017agent"
Ogbonna Anthony Oluwatobi,,"Registered on Jan 29, 2018agent"
NEW ERA,,"Registered on Jan 25, 2018agent"
Savvy Real Estate Ltd,Abuja,"Registered on Jan 31, 2018agent"
Toksgen Homes,"10 Ayonuga street Jibowu off Ikorodu road Lagos, Lagos","Registered on Feb 08, 2018agent"
Dave constructions,"Akure, Ondo","Registered on Feb 23, 2018agent"
Davochi Real Homes LTd ,,"Registered on Jun 13, 2019agent"
Emdelstar properties ,,"Registered on Jun 02, 2019agent"
Ilorin Real Estate Company,,"Registered on Jul 02, 2019agent"
Ayoola Taofeek Adewale,,"Registered on Jul 04, 2019agent"
Deaglejoe Enterprises Ltd,,"Registered on Aug 12, 2019agent"
Oma's property agent ,,"Registered on Sep 06, 2019agent"
JULIET,,"Registered on Aug 20, 2019agent"
Sonia arems,,"Registered on Oct 21, 2019agent"
Chinasa Jennifer,,"Registered on Nov 14, 2019agent"
